Date,Jobless Claims,,,,,,Macrotrends Data Download
2/1/83,481000,,,,,,
3/1/83,481000,,,,,,
4/1/83,490000,,,,,,
5/1/83,454000,,,,,,
6/1/83,442000,,,,,,
7/1/83,415000,,,,,,
8/1/83,426000,,,,,,
9/1/83,416000,,,,,,
10/1/83,404000,,,,,,
11/1/83,398000,,,,,,
12/1/83,372000,,,,,,
1/1/84,364000,,,,,,
2/1/84,343000,,,,,,
3/1/84,341000,,,,,,
4/1/84,375000,,,,,,
5/1/84,354000,,,,,,
6/1/84,360000,,,,,,
7/1/84,359000,,,,,,
8/1/84,395000,,,,,,
9/1/84,402000,,,,,,
10/1/84,425000,,,,,,
11/1/84,429000,,,,,,
12/1/84,379000,,,,,,
1/1/85,368000,,,,,,
2/1/85,390000,,,,,,
3/1/85,386000,,,,,,
4/1/85,386000,,,,,,
5/1/85,396000,,,,,,
6/1/85,390000,,,,,,
7/1/85,362000,,,,,,
8/1/85,409000,,,,,,
9/1/85,399000,,,,,,
10/1/85,418000,,,,,,
11/1/85,393000,,,,,,
12/1/85,390000,,,,,,
1/1/86,344000,,,,,,
2/1/86,390000,,,,,,
3/1/86,396000,,,,,,
4/1/86,391000,,,,,,
5/1/86,373000,,,,,,
6/1/86,371000,,,,,,
7/1/86,362000,,,,,,
8/1/86,401000,,,,,,
9/1/86,389000,,,,,,
10/1/86,370000,,,,,,
11/1/86,366000,,,,,,
12/1/86,345000,,,,,,
1/1/87,370000,,,,,,
2/1/87,348000,,,,,,
3/1/87,326000,,,,,,
4/1/87,328000,,,,,,
5/1/87,326000,,,,,,
6/1/87,326000,,,,,,
7/1/87,324000,,,,,,
8/1/87,322000,,,,,,
9/1/87,317000,,,,,,
10/1/87,289000,,,,,,
11/1/87,306000,,,,,,
12/1/87,316000,,,,,,
1/1/88,342000,,,,,,
2/1/88,319000,,,,,,
3/1/88,304000,,,,,,
4/1/88,313000,,,,,,
5/1/88,313000,,,,,,
6/1/88,307000,,,,,,
7/1/88,331000,,,,,,
8/1/88,315000,,,,,,
9/1/88,301000,,,,,,
10/1/88,294000,,,,,,
11/1/88,299000,,,,,,
12/1/88,304000,,,,,,
1/1/89,295000,,,,,,
2/1/89,300000,,,,,,
3/1/89,319000,,,,,,
4/1/89,311000,,,,,,
5/1/89,325000,,,,,,
6/1/89,338000,,,,,,
7/1/89,337000,,,,,,
8/1/89,332000,,,,,,
9/1/89,347000,,,,,,
10/1/89,354000,,,,,,
11/1/89,342000,,,,,,
12/1/89,358000,,,,,,
1/1/90,345000,,,,,,
2/1/90,350000,,,,,,
3/1/90,346000,,,,,,
4/1/90,363000,,,,,,
5/1/90,359000,,,,,,
6/1/90,364000,,,,,,
7/1/90,369000,,,,,,
8/1/90,394000,,,,,,
9/1/90,404000,,,,,,
10/1/90,440000,,,,,,
11/1/90,462000,,,,,,
12/1/90,454000,,,,,,
1/1/91,462000,,,,,,
2/1/91,499000,,,,,,
3/1/91,499000,,,,,,
4/1/91,462000,,,,,,
5/1/91,443000,,,,,,
6/1/91,418000,,,,,,
7/1/91,423000,,,,,,
8/1/91,425000,,,,,,
9/1/91,437000,,,,,,
10/1/91,423000,,,,,,
11/1/91,444000,,,,,,
12/1/91,441000,,,,,,
1/1/92,441000,,,,,,
2/1/92,444000,,,,,,
3/1/92,420000,,,,,,
4/1/92,424000,,,,,,
5/1/92,411000,,,,,,
6/1/92,420000,,,,,,
7/1/92,564000,,,,,,
8/1/92,408000,,,,,,
9/1/92,409000,,,,,,
10/1/92,365000,,,,,,
11/1/92,341000,,,,,,
12/1/92,313000,,,,,,
1/1/93,340000,,,,,,
2/1/93,362000,,,,,,
3/1/93,366000,,,,,,
4/1/93,350000,,,,,,
5/1/93,349000,,,,,,
6/1/93,340000,,,,,,
7/1/93,356000,,,,,,
8/1/93,337000,,,,,,
9/1/93,343000,,,,,,
10/1/93,348000,,,,,,
11/1/93,337000,,,,,,
12/1/93,290000,,,,,,
1/1/94,406000,,,,,,
2/1/94,327000,,,,,,
3/1/94,322000,,,,,,
4/1/94,344000,,,,,,
5/1/94,348000,,,,,,
6/1/94,341000,,,,,,
7/1/94,332000,,,,,,
8/1/94,341000,,,,,,
9/1/94,325000,,,,,,
10/1/94,331000,,,,,,
11/1/94,329000,,,,,,
12/1/94,319000,,,,,,
1/1/95,324000,,,,,,
2/1/95,336000,,,,,,
3/1/95,332000,,,,,,
4/1/95,365000,,,,,,
5/1/95,374000,,,,,,
6/1/95,358000,,,,,,
7/1/95,351000,,,,,,
8/1/95,359000,,,,,,
9/1/95,355000,,,,,,
10/1/95,377000,,,,,,
11/1/95,379000,,,,,,
12/1/95,359000,,,,,,
1/1/96,387000,,,,,,
2/1/96,365000,,,,,,
3/1/96,393000,,,,,,
4/1/96,343000,,,,,,
5/1/96,343000,,,,,,
6/1/96,337000,,,,,,
7/1/96,327000,,,,,,
8/1/96,329000,,,,,,
9/1/96,348000,,,,,,
10/1/96,352000,,,,,,
11/1/96,332000,,,,,,
12/1/96,357000,,,,,,
1/1/97,340000,,,,,,
2/1/97,322000,,,,,,
3/1/97,325000,,,,,,
4/1/97,337000,,,,,,
5/1/97,321000,,,,,,
6/1/97,322000,,,,,,
7/1/97,306000,,,,,,
8/1/97,332000,,,,,,
9/1/97,317000,,,,,,
10/1/97,306000,,,,,,
11/1/97,318000,,,,,,
12/1/97,303000,,,,,,
1/1/98,315000,,,,,,
2/1/98,317000,,,,,,
3/1/98,312000,,,,,,
4/1/98,311000,,,,,,
5/1/98,322000,,,,,,
6/1/98,376000,,,,,,
7/1/98,335000,,,,,,
8/1/98,310000,,,,,,
9/1/98,294000,,,,,,
10/1/98,308000,,,,,,
11/1/98,310000,,,,,,
12/1/98,336000,,,,,,
1/1/99,305000,,,,,,
2/1/99,301000,,,,,,
3/1/99,298000,,,,,,
4/1/99,291000,,,,,,
5/1/99,303000,,,,,,
6/1/99,291000,,,,,,
7/1/99,300000,,,,,,
8/1/99,290000,,,,,,
9/1/99,306000,,,,,,
10/1/99,285000,,,,,,
11/1/99,288000,,,,,,
12/1/99,268000,,,,,,
1/1/00,285000,,,,,,
2/1/00,280000,,,,,,
3/1/00,272000,,,,,,
4/1/00,291000,,,,,,
5/1/00,280000,,,,,,
6/1/00,296000,,,,,,
7/1/00,298000,,,,,,
8/1/00,312000,,,,,,
9/1/00,292000,,,,,,
10/1/00,301000,,,,,,
11/1/00,356000,,,,,,
12/1/00,353000,,,,,,
1/1/01,362000,,,,,,
2/1/01,386000,,,,,,
3/1/01,388000,,,,,,
4/1/01,406000,,,,,,
5/1/01,405000,,,,,,
6/1/01,394000,,,,,,
7/1/01,388000,,,,,,
8/1/01,395000,,,,,,
9/1/01,517000,,,,,,
10/1/01,483000,,,,,,
11/1/01,491000,,,,,,
12/1/01,421000,,,,,,
1/1/02,414000,,,,,,
2/1/02,398000,,,,,,
3/1/02,479000,,,,,,
4/1/02,414000,,,,,,
5/1/02,403000,,,,,,
6/1/02,386000,,,,,,
7/1/02,390000,,,,,,
8/1/02,394000,,,,,,
9/1/02,409000,,,,,,
10/1/02,409000,,,,,,
11/1/02,377000,,,,,,
12/1/02,409000,,,,,,
